,index,brand,colors,name,prices.isSale,MedianPrice
341,6509,VANS,Black,Vans Atwood  Women  Round Toe Canvas Black Skate Shoe,FALSE,55.0
342,6520,Unique Bargains,Brown,Unique Bargains Women's Chunky High Heel Tassel Closure Lace Up Sandals Brown (size 7.5),FALSE,71.99
343,6521,Unique Bargains,Brown,Unique Bargains Women's Chunky High Heel Tassel Closure Lace Up Sandals Brown (size 7.5),TRUE,35.91
344,6570,Bongo,White,Bongo Women's Lilly White Casual Shoe,FALSE,24.99
345,6571,Bongo,White,Bongo Women's Lilly White Casual Shoe,TRUE,11.89
347,6588,Vince Camuto,Black,Vince Camuto Kate   Round Toe Suede  Sneakers,TRUE,21.98
348,6589,Vince Camuto,Black,Vince Camuto Kate   Round Toe Suede  Sneakers,TRUE,9.99
349,6686,Style & Co.,Blue,Style & Co. 5270 New Womens Blue Velveteen Printed Jacket Athletic Plus 3x Bhfo,FALSE,6.5
350,6687,Style & Co.,Blue,Style & Co. 5270 New Womens Blue Velveteen Printed Jacket Athletic Plus 3x Bhfo,FALSE,4.99
351,6688,Style & Co.,Blue,Style & Co. 5270 New Womens Blue Velveteen Printed Jacket Athletic Plus 3x Bhfo,FALSE,5.5
352,6755,Nine West,Black,Nine West Herbert   Open Toe Leather  Wedge Heel,TRUE,53.99
354,6780,Ralph Lauren,Black,Ralph Lauren Size 14 Womens New Black Straight Leg Jeans Textured $125 #o5,FALSE,23.44
355,6807,New Balance,Blue,New Balance Womens 725 Wide,FALSE,44.99
356,6961,Easy Spirit,Black,Easy Spirit Motion Women Us 9 D Black Oxford Pre Owned 1665,FALSE,15.99
357,7018,Style & Co.,Beige,Style & Co Mighty Wide Calf Women  Round Toe Synthetic Tan Mid Calf Boot,FALSE,29.99
358,7136,Unique Bargains,Black,Ladies Cutout Front Strappy Pointed High Heels Pumps Black Us 7,TRUE,30.75
359,7137,Unique Bargains,Black,Ladies Cutout Front Strappy Pointed High Heels Pumps Black Us 7,FALSE,61.99
360,7139,Unique Bargains,Beige,Unique Bargains Women's Peep Toe Slip On Stacked Heel Slingback Mules Beige (size 8.5),FALSE,34.79
361,7154,Marc Fisher,Brown,Marc Fisher Camber Women  Open Toe Suede  Wedge Sandal,FALSE,69.0
362,7155,Marc Fisher,Brown,Marc Fisher Camber Women  Open Toe Suede  Wedge Sandal,TRUE,17.99
363,7208,Marc Fisher,Beige,Marc Fisher Turnner 4 Women  Pointed Toe Synthetic  Heels,TRUE,14.99
364,7209,Marc Fisher,Beige,Marc Fisher Turnner 4 Women  Pointed Toe Synthetic  Heels,FALSE,59.0
365,7222,Alfani,Beige,Alfani Pacific Women  Peep-toe Suede  Heels,TRUE,26.98
366,7223,Alfani,Beige,Alfani Pacific Women  Peep-toe Suede  Heels,FALSE,75.0
367,7225,MUK LUKS,Black,Muk Luks Women's Alana Boot,TRUE,62.95
368,7226,MUK LUKS,Black,Muk Luks Women's Alana Boot,TRUE,68.75
369,7227,MUK LUKS,Black,Muk Luks Women's Alana Boot,FALSE,49.48
370,7228,MUK LUKS,Black,Muk Luks Women's Alana Boot,TRUE,62.18
371,7229,MUK LUKS,Black,Muk Luks Women's Alana Boot,TRUE,49.48
372,7230,MUK LUKS,Black,Muk Luks Women's Alana Boot,FALSE,73.0
373,7231,MUK LUKS,Black,Muk Luks Women's Alana Boot,TRUE,58.99
374,7292,Nine West,Beige,Nine West Tabia Women  Pointed Toe Leather Tan Slingback Heel,FALSE,64.98
375,7305,Nine West,Black,Nine West Nwnobu   Round Toe Leather  Clogs,FALSE,69.0
376,7306,Nine West,Black,Nine West Nwnobu   Round Toe Leather  Clogs,TRUE,27.99
377,7338,Vince Camuto,Brown,Vince Camuto Eliss   Round Toe Leather  Loafer,FALSE,27.99
378,7356,Easy Spirit,Brown,Easy Spirit Testrun Women N/s Round Toe Suede  Winter Boot,FALSE,79.0
379,7357,Easy Spirit,Brown,Easy Spirit Testrun Women N/s Round Toe Suede  Winter Boot,TRUE,34.99
380,7395,Nine West,Brown,Womens Nine West Cantalope Wedge Sandals - Dark Natural,TRUE,28.0
382,7409,Nine West,Black,Nine West Brave It   Open Toe Leather  Wedge Heel,TRUE,12.99
383,7410,Nine West,Black,Nine West Brave It   Open Toe Leather  Wedge Heel,FALSE,89.0
385,7423,Nine West,Black,Nine West Electric   Round Toe Leather  Ankle Boot,TRUE,82.99
386,7440,Unique Bargains,Black,Unique Bargains Us Size 7 Black Canvas Dancing Ballet Shoes For Ladies,FALSE,19.99
387,7441,Unique Bargains,Black,Unique Bargains Us Size 7 Black Canvas Dancing Ballet Shoes For Ladies,TRUE,10.31
388,7442,Unique Bargains,Black,Unique Bargains Us Size 7 Black Canvas Dancing Ballet Shoes For Ladies,FALSE,20.99
389,7443,Unique Bargains,Black,Unique Bargains Us Size 7 Black Canvas Dancing Ballet Shoes For Ladies,TRUE,9.59
392,7469,Reebok,Black,Reebok Walk Around Walking Women's Shoes Size,TRUE,54.99
393,7470,Reebok,Black,Reebok Walk Around Walking Women's Shoes Size,FALSE,63.95
394,7483,Vince Camuto,Brown,Vince Camuto Emilian Women Us 10 Brown Knee High Boot Blemish 11284,FALSE,21.99
395,7617,Bongo,Black,Bongo Women's Addy Black Sherpa-lined Ballet Flat,FALSE,29.99
396,7618,Bongo,Black,Bongo Women's Addy Black Sherpa-lined Ballet Flat,TRUE,11.89
397,7706,Nine West,White,Nine West Jacoby Women  Open Toe Leather White Wedge Heel,TRUE,42.99
398,7707,Nine West,White,Nine West Jacoby Women  Open Toe Leather White Wedge Heel,FALSE,89.0
399,7777,Brinley Co.,Black,Brinley Co. Women's Mid-calf Riding Boots,FALSE,44.99
400,7778,Brinley Co.,Black,Brinley Co. Women's Mid-calf Riding Boots,TRUE,36.96
401,7779,Brinley Co.,Black,Brinley Co. Women's Mid-calf Riding Boots,FALSE,59.98
402,7780,Brinley Co.,Black,Brinley Co. Women's Mid-calf Riding Boots,TRUE,30.0
403,7781,Brinley Co.,Black,Brinley Co. Women's Mid-calf Riding Boots,TRUE,27.0
404,7782,Brinley Co.,Black,Brinley Co. Women's Mid-calf Riding Boots,FALSE,27.0
405,7836,Easy Spirit,White,Easy Spirit Tourguide Women N/s Round Toe Leather White Mules,FALSE,50.0
406,7837,Easy Spirit,White,Easy Spirit Tourguide Women N/s Round Toe Leather White Mules,TRUE,21.99
407,7966,Brinley Co.,Black,Brinley Co. Women Buckle Accent Wide Calf Boots,TRUE,30.74
408,7967,Brinley Co.,Black,Brinley Co. Women Buckle Accent Wide Calf Boots,FALSE,40.99
409,7968,Brinley Co.,Black,Brinley Co. Women Buckle Accent Wide Calf Boots,FALSE,32.99
410,7969,Brinley Co.,Black,Brinley Co. Women Buckle Accent Wide Calf Boots,TRUE,40.99
412,8027,Le Suit,Black,Le Suit Plus Long Sleeves 2pc Pant Suit,TRUE,76.99
413,8047,Alfani,Beige,Alfani Kendol   Open Toe Synthetic  Wedge Heel,FALSE,69.0
414,8048,Alfani,Beige,Alfani Kendol   Open Toe Synthetic  Wedge Heel,TRUE,33.98
415,8049,Alfani,Beige,Alfani Kendol   Open Toe Synthetic  Wedge Heel,TRUE,9.99
416,8050,Alfani,Beige,Alfani Kendol   Open Toe Synthetic  Wedge Heel,TRUE,22.99
417,8057,Style & Co.,Blue,Style & Co Bessy Women  Open Toe Synthetic  Wedge Heel,FALSE,55.0
418,8058,Style & Co.,Blue,Style & Co Bessy Women  Open Toe Synthetic  Wedge Heel,TRUE,33.98
419,8059,Style & Co.,Blue,Style & Co Bessy Women  Open Toe Synthetic  Wedge Heel,TRUE,10.99
